time,x,y,z
33.559,-0.428528,0.028793,-0.195419
33.66,0.697739,0.290024,-0.253189
33.76,-0.063873,0.029037,0.047531
33.861,-2.363022,-1.992447,-0.526978
33.957,-1.082123,-0.294388,-0.38176
34.058,1.1474,0.193481,-0.172348
34.158,-0.028122,-0.014084,-1.298065
34.258,-1.671082,-0.669754,-1.295456
34.354,-0.61084,0.184891,-0.091644
34.455,1.034683,-0.011902,0.10553
34.556,-2.875183,1.343628,-0.208694
34.656,-2.406967,-0.727982,-0.15535
34.752,-0.066803,0.143936,-0.178619
34.853,0.361343,0.016037,-0.132248
34.953,-3.765091,0.28244,-0.322815
35.053,-1.772141,0.447372,-0.370575
35.149,0.665848,0.318268,-0.408859
35.25,-0.062668,-0.002792,0.036346
35.351,-1.662399,-1.824097,-0.417023
35.451,-1.019821,0.252548,-0.193466
35.547,1.165344,0.06041,-0.027298
35.648,-0.078934,0.064651,-0.948502
35.748,-1.486435,-0.67247,-1.020874
35.849,-0.767624,0.209778,-0.131348
35.945,0.968628,-0.132721,-0.13208
36.046,-0.48996,0.354462,-2.639511
36.146,-2.067795,-0.045303,-0.674515
36.247,-0.459579,0.21138,-0.085358
36.342,0.469055,-0.118042,-0.140518
36.443,-2.182785,-1.789993,0.248886
36.544,-2.515579,0.146179,-0.46521
36.644,-0.32782,-0.128448,-0.336533
36.74,0.301086,-0.087021,-0.01358
36.841,-3.092484,-1.069351,-0.627075
36.941,-1.607895,-0.543182,-0.201004
37.042,0.337891,0.238373,-0.198395
37.138,0.137054,-0.26062,0.077179
37.239,-3.222397,2.915771,-1.468109
37.338,-1.294266,0.883667,-0.375153
37.44,0.76181,0.102783,-0.176086
37.535,0.037033,0.103241,-0.109604
37.636,-1.936172,-1.681992,-0.523682
37.736,-0.95224,-0.335236,-0.175827
37.837,1.072906,0.214966,-0.122803
37.933,0.080795,0.200577,-1.022385
38.034,-1.728577,-0.546371,-0.762787
38.134,-0.699127,0.048096,-0.187515
38.235,0.898087,0.056442,-0.008987
38.33,-0.724747,0.306885,-2.778656
38.431,-2.296951,-0.269592,-0.502151
38.532,-0.418564,0.039307,-0.161163
38.632,0.382843,-0.151321,-0.179291
38.728,-2.545959,-0.900681,-1.004715
