time,x,y,z
24.347,-0.977936,-0.112274,-0.103378
24.449,-1.003265,-0.139236,-0.090775
24.548,-0.908096,0.050461,-0.073059
24.648,-1.025055,-0.117157,-0.166718
24.744,-0.993408,-0.140656,-0.092392
24.845,-0.97731,-0.394394,-0.244568
24.945,-1.021057,-0.028961,-0.135391
25.046,-0.99501,-0.103409,-0.118118
25.142,-1.121506,-0.184677,0.033356
25.243,-0.90387,-0.065933,-0.096481
25.343,-0.990967,-0.11705,-0.155075
25.444,-1.113663,-0.077576,-0.106232
25.539,-0.964188,-0.131744,-0.042664
25.64,-0.980377,-0.161591,0.003891
25.741,-0.775909,-0.204163,-0.061813
25.841,-0.978622,-0.194809,0.150818
25.937,-1.288742,-0.482925,0.173859
26.038,-0.94371,-0.395248,0.147171
26.139,-0.909714,-0.38327,0.096695
26.239,-0.961411,-0.335892,0.120346
26.335,-0.886368,-0.336349,0.150497
26.435,-0.853897,-0.325806,0.158707
26.536,-0.775772,-0.443939,0.139175
26.637,-1.438034,-0.463913,-0.042465
26.732,-0.625122,-0.053802,0.049133
26.833,-0.932159,-0.109406,0.06543
26.934,-1.003906,-0.272186,0.058884
27.034,-0.93782,-0.260925,0.166687
27.13,-1.043701,0.007553,0.01712
27.23,-1.074387,-0.287201,0.035065
27.331,-0.891235,-0.055038,0.012314
27.432,-0.989761,-0.045258,-0.04216
27.527,-1.041107,-0.023254,-0.031693
27.628,-0.965576,-0.261597,-0.004913
27.729,-1.005249,-0.062988,0.061813
27.829,-1.00853,-0.18866,0.161652
27.925,-0.985428,-0.120575,0.046097
28.025,-0.966705,-0.02446,0.031158
28.126,-1.071503,-0.13443,0.064774
28.227,-1.021957,-0.187836,0.136673
28.322,-0.877045,-0.08461,0.01976
28.423,-1.020538,-0.180618,0.021469
28.524,-1.038666,-0.15921,-0.006866
28.624,-0.942139,-0.225601,0.092422
28.72,-0.970901,-0.363434,0.1362
28.821,-0.903748,-0.349762,0.18631
28.921,-1.045547,-0.305176,0.14624
29.022,-0.91539,-0.176682,-0.084259
29.118,-1.000671,-0.174454,0.124771
29.219,-0.955414,-0.278839,0.019104
29.319,-1.05098,-0.267883,0.052994
29.42,-0.946732,-0.32663,-0.07402
29.515,-0.889404,-0.080933,0.103638
29.616,-0.810349,0.136185,0.15126
29.716,-0.91922,0.378738,0.432037
29.817,-1.56723,0.341064,0.945496
29.913,-0.808426,0.299942,0.308273
30.013,-0.772797,-0.290649,0.065948
30.114,-0.86937,-0.199646,0.411743
30.215,-0.98291,0.270111,0.719864
30.31,-1.078873,-0.134781,0.116577
30.411,-1.168976,-0.230881,0.025452
30.512,-0.683167,0.118149,-0.33374
30.613,-0.882431,-0.028946,-0.216751
30.708,-0.773621,-0.046936,-0.39006
30.809,-0.566193,-0.097015,-0.358444
30.91,-1.854492,-0.505264,0.034775
31.01,-0.954941,0.375275,-0.182648
31.106,-0.931396,0.55835,-0.222153
31.207,-0.54512,0.026871,-0.368057
31.307,-1.013535,0.039062,-0.142685
31.408,-1.083618,0.389709,-0.381348
31.503,-0.979279,0.079483,-0.259521
31.604,-0.872955,0.01152,-0.267456
31.705,-0.911575,0.026215,-0.306183
31.806,-0.933578,0.096848,-0.3255
31.901,-1.01944,0.157379,-0.220612
32.002,-0.857529,-0.212311,-0.237473
32.102,-0.881805,-0.416016,-0.400574
32.203,-0.994034,-0.042007,-0.242096
32.299,-1.095459,0.408691,0.021637
32.399,-0.775101,0.034714,-0.105301
32.5,-1.006927,0.090073,-0.179504
32.6,-0.918243,0.13829,-0.221252
32.696,-1.068405,0.102524,-0.37851
32.797,-0.879486,0.12146,-0.187073
32.897,-1.206467,0.105743,-0.245483
32.998,-0.975662,-0.097961,-0.275436
33.094,-0.952713,-0.315384,-0.404327
33.194,-0.957932,-0.213104,-0.341751
33.295,-0.923233,-0.122543,-0.242371
33.396,-0.956863,-0.041885,-0.229843
33.491,-0.994003,-0.008636,-0.201233
33.592,-0.958847,0.041351,-0.220459
33.693,-0.989105,0.045074,-0.179749
33.793,-0.986023,0.081863,-0.178772
33.889,-1.031693,0.088898,-0.159744
33.99,-0.987823,0.078079,-0.169708
34.091,-1.024399,0.058578,-0.160919
34.191,-0.998535,0.044907,-0.182434
34.287,-0.9319,0.109161,-0.190918
34.387,-0.952606,0.063705,-0.202042
34.488,-0.973099,0.090881,-0.204666
34.589,-0.957367,0.061676,-0.216614
34.685,-1.004257,0.010406,-0.257141
34.785,-0.988556,0.043808,-0.250046
34.885,-0.984787,0.083313,-0.205765
34.986,-0.95491,0.008377,-0.290848
35.082,-0.861862,0.096466,-0.080902
35.183,-0.816711,0.188538,-0.162537
35.283,-1.332092,0.040939,-0.101837
35.384,-0.96405,0.207291,-0.036209
35.48,-1.180252,0.135391,0.206177
35.58,-0.509644,0.616058,-0.671432
35.681,-1.03186,-0.042709,-0.259232
35.782,-1.024979,-0.29512,-0.199982
35.877,-0.867584,0.620499,-0.364288
35.978,-0.892334,0.007996,-0.305664
36.079,-0.986832,-0.066635,-0.403732
36.179,-0.90155,0.049072,-0.368179
36.275,-0.914215,-0.323898,-0.394669
36.375,-1.102875,0.17688,-0.27327
36.475,-0.705811,0.174454,-0.28215
36.576,-0.885239,0.182083,-0.281525
36.672,-0.985413,0.101639,-0.346375
36.773,-0.887924,0.106476,-0.305801
36.874,-0.962494,0.09082,-0.327286
36.974,-0.934158,0.07663,-0.32428
37.07,-0.882278,0.031082,-0.322906
37.17,-0.923187,0.039047,-0.320465
37.271,-0.954987,0.116638,-0.332092
37.371,-0.928864,0.067398,-0.337646
37.467,-0.947769,0.032135,-0.341019
37.568,-0.909546,0.130783,-0.323914
37.669,-0.959717,0.056183,-0.343231
37.769,-0.951141,0.045898,-0.320572
37.865,-0.95256,0.108566,-0.345123
37.965,-0.890747,0.070435,-0.364304
38.066,-0.910431,0.15361,-0.352219
38.167,-0.922012,0.098068,-0.344513
38.262,-0.91922,0.092438,-0.349121
38.363,-0.961761,0.145737,-0.356064
38.463,-0.948196,0.096603,-0.346924
38.564,-0.92157,0.05307,-0.344681
38.66,-0.924026,0.072784,-0.337692
38.76,-0.957443,0.122421,-0.336838
38.861,-0.949768,0.108444,-0.332779
38.962,-0.893814,0.07666,-0.367172
39.057,-0.910339,0.105408,-0.352173
39.158,-0.935181,0.048508,-0.33255
39.258,-0.943832,0.08252,-0.331024
39.359,-0.923843,0.064453,-0.295074
39.455,-0.916077,0.09227,-0.383636
39.556,-0.949631,0.025787,-0.359238
39.656,-0.962509,-0.011871,-0.340347
39.757,-0.897141,0.028,-0.349594
39.853,-1.084869,-0.003342,-0.283951
39.955,-0.937805,-0.088226,-0.301132
40.054,-0.930374,0.127441,-0.381577
40.155,-0.910049,-0.024368,-0.340515
40.25,-0.93428,0.010666,-0.344452
40.355,-0.990982,-0.016266,-0.314423
40.451,-0.886276,-0.016922,-0.360855
40.552,-0.924835,0.020432,-0.364899
40.648,-0.929443,0.047287,-0.345734
40.758,-0.909042,0.01857,-0.300064
40.849,-0.923813,0.089005,-0.306259
40.95,-0.865387,-0.086517,-0.292923
41.046,-0.960571,-0.083527,-0.291595
41.146,-0.97728,-0.132645,-0.181854
41.247,-0.834534,0.025955,-0.206558
41.347,-0.947327,-0.143204,-0.27359
41.443,-0.907578,-0.068985,-0.4048
41.546,-0.814606,-0.103394,-0.233276
41.644,-1.066101,0.033829,-0.224716
41.745,-0.838135,0.009949,-0.268311
41.841,-0.950821,0.092804,-0.248947
41.941,-1.069138,0.174286,-0.156036
42.042,-1.085632,0.204803,-0.177109
42.143,-1.110611,-0.045807,-0.061584
42.238,-0.023865,0.412643,-0.024963
42.339,-0.818329,0.158417,-0.31456
42.439,-0.922821,-0.417313,-0.239655
42.54,-0.824203,0.057373,-0.017593
42.635,-0.919067,0.018433,-0.078445
42.736,-0.468536,0.205856,-1.164825
42.837,-0.77684,-0.243942,-0.461853
42.938,-0.771179,-0.412689,-0.153763
43.033,-1.079803,0.011444,-0.289108
43.134,-0.74794,-0.415527,-0.296494
43.235,-0.872192,-0.480347,-0.191406
43.335,-1.129105,0.026611,-0.321899
43.431,-0.949097,-0.142899,-0.314072
43.536,-1.008255,0.155823,-0.323105
43.632,-0.855225,-0.080658,-0.347885
43.733,-0.986603,-0.130554,-0.318573
43.828,-0.928619,-0.045731,-0.321747
43.929,-0.974747,-0.087357,-0.291077
44.029,-0.957428,0.021454,-0.332443
44.13,-0.930923,-0.014206,-0.313736
44.226,-0.941284,-0.001984,-0.324585
44.326,-0.971313,0.032669,-0.268082
44.427,-0.91037,-0.084503,-0.303009
44.528,-0.862335,-0.092117,-0.335403
44.623,-0.724762,0.146591,-0.832092
44.724,-0.745178,0.130249,-0.362518
44.824,-1.322784,-0.088394,0.654465
44.925,-0.978271,0.040497,-0.20961
45.021,-1.237976,-0.078918,-0.299789
45.122,-1.123016,-0.11972,-0.142303
45.222,-0.6931,-0.095612,-0.19696
45.323,-1.769119,-0.175613,-0.113342
45.418,-0.717926,-0.138367,-0.244583
45.519,-0.638275,-0.160141,-0.254089
45.62,-1.067108,-0.044388,-0.490402
45.72,-0.704376,-0.187363,-0.307999
45.816,-0.979385,-0.075836,-0.261429
45.917,-0.994858,-0.392685,-0.361786
46.017,-1.076965,-0.059433,-0.286255
46.118,-0.963226,-0.06636,-0.227646
46.214,-0.95459,-0.098206,-0.244095
46.314,-0.994202,-0.023407,-0.244446
46.415,-0.914246,-0.24263,-0.235321
46.515,-0.966415,-0.09169,-0.246796
46.611,-0.979156,-0.079941,-0.20575
46.712,-0.93959,-0.074356,-0.234116
46.813,-1.001892,-0.037613,-0.228516
46.913,-1.012207,0.021484,-0.188354
47.009,-0.948349,-0.155167,-0.267014
47.109,-0.95488,-0.153229,-0.205826
47.21,-1.00412,-0.067322,-0.174927
47.311,-0.942871,0.043793,-0.302887
47.406,-0.927872,-0.090576,-0.319748
47.507,-0.961304,-0.074875,-0.306183
47.608,-0.96312,-0.191772,-0.239182
47.708,-0.973892,-0.19899,-0.237015
47.804,-0.951614,-0.172043,-0.241302
47.905,-0.907227,-0.261459,-0.242035
48.005,-1.13298,-0.016632,-0.396896
48.106,-0.724899,-0.093079,-0.295578
48.202,-0.97377,-0.07074,-0.357117
48.302,-0.864304,-0.049118,-0.418579
48.403,-0.782379,0.004715,-0.331284
48.503,-1.066528,0.014572,-0.240204
48.599,-1.18573,-0.078476,-0.223389
48.7,-0.643341,0.138214,-0.31366
48.8,-1.060196,0.167358,-0.20961
48.901,-1.019958,0.237549,-0.35321
48.997,-0.786179,-0.082794,-0.409775
49.097,-0.73085,-0.621384,-0.457581
49.198,-0.97467,0.303909,-0.483063
49.299,-0.871109,-0.088409,-0.278671
49.394,-0.957001,-0.323929,-0.315399
49.495,-0.924545,-0.168549,-0.297379
49.595,-0.877029,-0.180695,-0.239304
49.696,-0.991714,-0.165268,-0.281631
49.792,-1.088959,-0.19725,-0.306763
49.893,-0.907288,0.010834,-0.282532
49.993,-0.866928,-0.117294,-0.357254
50.094,-1.056442,-0.045517,-0.309357
50.189,-0.881836,-0.067093,-0.285858
50.29,-0.93869,-0.059235,-0.21727
50.391,-0.90477,-0.007019,-0.181442
50.491,-0.936203,-0.054977,-0.230316
50.587,-1.11969,-0.17308,-0.348663
50.687,-0.896896,0.047089,-0.278595
50.788,-0.920395,-0.173676,-0.362488
50.889,-0.840271,-0.215302,-0.328217
50.984,-0.947556,-0.175949,-0.314011
51.085,-0.869156,-0.223969,-0.35141
51.186,-0.918762,-0.178375,-0.3293
51.286,-0.888306,-0.2211,-0.333969
51.382,-0.913025,-0.196899,-0.264526
51.483,-0.926453,-0.160065,-0.225906
51.583,-0.939041,-0.15921,-0.195312
51.684,-1.199539,-0.028519,-0.280853
51.779,-0.856461,-0.172134,-0.281708
51.88,-0.936676,-0.097122,-0.290421
51.981,-0.961517,-0.039215,-0.336136
52.081,-0.932037,0.090775,-0.232941
52.177,-1.049393,-0.121887,-0.201508
52.278,-0.947083,0.018143,-0.253601
52.378,-1.010178,-0.055161,-0.210419
52.479,-0.870804,0.004868,-0.225296
52.575,-0.958221,0.002426,-0.06842
52.675,-1.219788,0.103073,-0.394073
52.776,-0.93425,-0.465149,-0.432449
52.876,-0.906952,-0.195511,-0.359985
52.972,-0.913315,-0.102417,-0.382462
53.073,-0.836502,-0.17363,-0.353317
53.173,-0.917221,-0.167725,-0.346695
53.274,-0.920593,-0.144699,-0.31839
53.369,-0.938477,-0.148285,-0.245087
53.47,-0.949341,-0.149704,-0.235107
53.571,-0.939514,-0.145782,-0.222382
53.671,-1.058914,-0.027374,-0.282272
53.767,-0.911804,-0.175934,-0.21228
53.868,-0.962173,-0.057648,-0.258789
53.968,-0.925797,-0.072601,-0.269363
54.069,-0.932739,-0.097488,-0.2556
54.165,-0.934189,-0.071594,-0.235428
54.265,-0.945221,-0.075287,-0.285873
54.366,-0.881409,-0.069504,-0.23381
54.466,-1.036057,0.060196,-0.168915
54.562,-0.984039,-0.036682,-0.238907
54.663,-0.932739,-0.114182,-0.18367
